aged_70_older,PrivateGatheringRestrictions,B.1.427/B.1.429,new_tests_smoothed_per_thousand,ClosPubAnyPartial,weekly_icu_admissions,new_tests_per_thousand,people_vaccinated,total_vaccinations_per_hundred,WorkplaceClosures,BanOnAllEvents,StayHomeRiskG,AT.1,EntertainmentVenues,HotelsOtherAccommodationPartial,OutdoorOver500,ClosDaycare,B.1.525,AdaptationOfWorkplacePartial,new_deaths_smoothed_per_million,RestaurantsCafesPartial,new_vaccinations,B.1.1.7+E484K,IndoorOver50,SocialCircle,B.1.640,hosp_patients_per_million,cardiovasc_death_rate,C.1.2,StayHomeGen,C.37,P.3,B.1.617.2,B.1.351,diabetes_prevalence,people_fully_vaccinated,population_density,B.1.617.3,MassGatherAllPartial,new_deaths,StayHomeOrderPartial,StayHomeRiskGPartial,total_boosters_per_hundred,new_tests,ClosSec,AY.4.2,OutdoorOver100,HotelsOtherAccommodation,weekly_hosp_admissions_per_million,stringency_index,people_vaccinated_per_hundred,IndoorOver1000,UNK,MasksVoluntaryAllSpaces,GymsSportsCentresPartial,icu_patients,IndoorOver500,gdp_per_capita,MasksMandatoryAllSpacesPartial,new_cases,life_expectancy,AdaptationOfWorkplace,ClosHigh,GymsSportsCentres,RestaurantsCafes,Teleworking,MassGather50,total_deaths,RegionalStayHomeOrder,new_vaccinations_smoothed,MasksMandatoryClosedSpacesPartial,total_vaccinations,people_fully_vaccinated_per_hundred,P.1,MassGather50Partial,total_boosters,IndoorOver100,MasksVoluntaryAllSpacesPartial,B.1.617.1,total_tests,MasksMandatoryClosedSpaces,new_deaths_per_million,total_cases_per_million,new_vaccinations_smoothed_per_million,B.1.617,RegionalStayHomeOrderPartial,hosp_patients,PlaceOfWorship,QuarantineForInternationalTravellersPartial,PlaceOfWorshipPartial,B.1.526,SocialCirclePartial,OutdoorOver50,female_smokers,ClosPrimPartial,weekly_hosp_admissions,weekly_icu_admissions_per_million,total_tests_per_thousand,B.1.620,ClosPrim,NonEssentialShopsPartial,handwashing_facilities,BanOnAllEventsPartial,EntertainmentVenuesPartial,male_smokers,aged_65_older,total_cases,new_tests_smoothed,QuarantineForInternationalTravellers,MasksVoluntaryClosedSpaces,B.1.621,MasksVoluntaryClosedSpacesPartial,SGTF,Other,median_age,MasksMandatoryAllSpaces,NonEssentialShops,human_development_index,ClosSecPartial,B.1.1.529,ClosureOfPublicTransport,positive_rate,ClosureOfPublicTransportPartial,new_people_vaccinated_smoothed_per_hundred,hospital_beds_per_thousand,ClosHighPartial,B.1.1.7,B.1.616,ClosPubAny,tests_per_case,total_deaths_per_million,icu_patients_per_million,TeleworkingPartial,new_people_vaccinated_smoothed,WorkplaceClosuresPartial,new_deaths_smoothed,MassGatherAll,population,OutdoorOver1000,reproduction_rate,StayHomeGenPartial,PrivateGatheringRestrictionsPartial,extreme_poverty,ClosDaycarePartial,StayHomeOrder
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
12.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.767,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,136.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46682.515,0.0,0.0,80.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,19.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5813302.0,0.0,1.0735433070866145,0.0,0.0,0.2,0.0,0.0
